Gare d'entrée	Gare de sortie	Distance	Catégorie 1	Catégorie 2	Catégorie 3	Catégorie 4	Catégorie 5
ALLAINES	AMBERIEU	462,61	52,00	79,30	126,80	169,80	29,20
ALLAINES	ARLAY	403,12	46,80	71,70	116,50	154,70	25,80
ALLAINES	AUXERRE NORD	160,62	26,70	40,00	65,50	85,00	13,70
ALLAINES	AUXERRE SUD	172,32	26,70	40,00	65,50	85,00	13,70
ALLAINES	AVALLON	216,42	30,30	46,00	75,40	99,20	16,40
ALLAINES	BALAN	486,64	52,90	81,10	129,30	172,80	29,80
ALLAINES	BAUME-LES-DAMES	443,12	49,60	76,10	122,20	163,80	27,90
ALLAINES	BEAUNE NORD	308,07	38,10	58,20	94,20	124,20	20,90
ALLAINES	BEAUNE SUD	313,82	39,30	59,70	96,60	127,90	21,50
ALLAINES	BEAUPONT	446,82	49,80	76,50	123,60	165,10	28,10
ALLAINES	BEAUREPAIRE	418,52	47,90	73,40	118,40	158,70	26,50
ALLAINES	BELLEVILLE S/SAONE	419,52	48,00	73,30	117,10	156,50	26,50
ALLAINES	BERSAILLIN	398,53	46,60	70,50	115,10	153,20	25,70
ALLAINES	BESANCON EST	424,04	47,00	72,80	117,30	157,20	26,30
ALLAINES	BESANCON NORD	409,42	47,00	71,70	115,80	154,50	25,90
ALLAINES	BESANCON OUEST	400,02	47,00	71,30	115,30	153,50	25,80
ALLAINES	BEYNOST	500,80	55,20	84,80	134,90	181,00	31,40
ALLAINES	BIERRE-LES-SEMUR	242,32	32,30	48,40	79,50	104,90	17,30
ALLAINES	BOURG NORD	420,41	48,20	73,70	117,30	157,20	26,90
ALLAINES	BOURG SUD	440,84	49,30	75,80	121,10	161,80	28,10
ALLAINES	BULGNEVILLE	373,87	42,20	64,00	102,70	137,60	22,90
ALLAINES	CHALON NORD	335,92	41,60	63,40	101,10	134,60	22,70
ALLAINES	CHALON SUD	342,12	41,60	63,40	101,10	134,60	22,70
ALLAINES	CHATENOIS	384,02	42,50	64,70	104,20	139,30	23,50
ALLAINES	CHATILLON-LABORDE	197,24	29,60	44,70	72,60	95,30	15,80
ALLAINES	CHAUMONT-SEMOUTIERS	291,49	35,60	53,90	87,80	116,50	19,10
ALLAINES	CHOISEY	365,23	43,60	66,50	107,30	143,00	24,00
ALLAINES	CLERMONT-BARRIERE	334,58	33,90	53,00	83,90	113,00	20,40
ALLAINES	COLOMBEY-LES-BELLES	412,72	45,10	68,30	110,10	148,10	24,60
ALLAINES	COMBRONDE	297,36	29,30	45,90	72,40	96,80	17,70
ALLAINES	COURTENAY	118,31	22,50	33,60	55,60	71,50	11,40
ALLAINES	DIJON SUD	343,72	41,80	63,80	102,30	136,10	22,80
ALLAINES	DIJON-ARC S/TILLE	358,88	43,20	66,00	105,90	140,80	23,80
ALLAINES	DIJON-CRIMOLOIS	391,22	42,40	64,40	104,70	138,40	23,50
ALLAINES	DOLE	367,42	43,60	66,50	107,30	143,00	24,00
ALLAINES	FEILLENS	395,50	45,70	70,40	112,90	151,00	25,60
ALLAINES	FLEURY-EN-BIERE	184,74	28,10	42,60	69,10	89,90	14,70
ALLAINES	FONTAINEBLEAU	159,31	25,80	38,70	63,70	81,90	13,30
ALLAINES	FORET DE TRONCAIS	215,75	22,10	35,70	55,40	73,10	13,90
