Gare d'entrée	Gare de sortie	Distance	Catégorie 1	Catégorie 2	Catégorie 3	Catégorie 4	Catégorie 5
ALLAINES	AMBERIEU	462,61	49,8	74,9	119,9	160,6	27,8
ALLAINES	ARLAY	403,12	44,8	67,5	109,9	146	24,6
ALLAINES	AUXERRE NORD	160,62	25,5	37	60,8	79	12,8
ALLAINES	AUXERRE SUD	172,32	25,5	37	60,8	79	12,8
ALLAINES	AVALLON	216,42	29	42,7	70,4	92,6	15,5
ALLAINES	BALAN	486,64	50,7	76,5	122,3	163,6	28,4
ALLAINES	BAUME-LES-DAMES	443,12	47,6	71,8	115,5	154,9	26,6
ALLAINES	BEAUNE NORD	308,07	36,5	54,6	88,5	116,7	19,8
ALLAINES	BEAUNE SUD	313,82	37,6	56	90,7	120,3	20,4
ALLAINES	BEAUPONT	446,82	47,8	72,1	116,9	156,1	26,7
ALLAINES	BEAUREPAIRE	418,52	45,9	69,1	111,8	150	25,3
ALLAINES	BELLEVILLE S/SAONE	419,52	46	69	110,5	147,8	25,3
ALLAINES	BERSAILLIN	398,53	44,6	66,4	108,6	144,6	24,5
ALLAINES	BESANCON EST	424,04	45	68,5	110,7	148,5	25,1
ALLAINES	BESANCON NORD	409,42	45	67,5	109,3	145,9	24,7
ALLAINES	BESANCON OUEST	400,02	45	67,1	108,8	144,9	24,6
ALLAINES	BEYNOST	500,8	52,9	80,1	127,7	171,5	29,9
ALLAINES	BIERRE-LES-SEMUR	242,32	30,8	45,1	74,4	98,1	16,3
ALLAINES	BOURG NORD	420,41	46,2	69,4	110,7	148,5	25,7
ALLAINES	BOURG SUD	440,84	47,3	71,5	114,4	153	26,7
ALLAINES	BULGNEVILLE	373,87	40,4	60	96,7	129,6	21,8
ALLAINES	CHALON NORD	335,92	39,8	59,4	95,1	126,7	21,6
ALLAINES	CHALON SUD	342,12	39,8	59,4	95,1	127	21,6
ALLAINES	CHATENOIS	384,02	40,7	60,7	98,1	131,3	22,3
ALLAINES	CHATILLON-LABORDE	197,24	28,3	41,5	67,6	88,9	14,9
ALLAINES	CHAUMONT-SEMOUTIERS	291,49	34	50,3	82,3	109,3	18,1
ALLAINES	CHOISEY	365,23	41,8	62,5	101,1	134,8	22,8
ALLAINES	CLERMONT-BARRIERE	334,58	32,4	51	80,3	107,8	19,5
ALLAINES	COLOMBEY-LES-BELLES	412,72	43,2	64,2	103,8	139,8	23,4
ALLAINES	COMBRONDE	297,36	28,1	44	69,8	93,1	17,1
ALLAINES	COURTENAY	118,31	21,4	30,8	51,3	65,9	10,6
ALLAINES	DIJON SUD	343,72	40	59,8	96,3	128,1	21,7
ALLAINES	DIJON-ARC S/TILLE	358,88	41,4	62	99,7	132,7	22,6
ALLAINES	DIJON-CRIMOLOIS	391,22	40,6	60,4	98,5	130,4	22,3
ALLAINES	DOLE	367,42	41,8	62,5	101,1	134,8	22,8
ALLAINES	FEILLENS	395,5	43,8	66,3	106,6	142,5	24,4
ALLAINES	FLEURY-EN-BIERE	184,74	26,8	39,4	64,3	83,6	13,8
ALLAINES	FONTAINEBLEAU	159,31	24,6	35,6	59	75,9	12,3
ALLAINES	FORET DE TRONCAIS	215,75	21,1	34,2	53,1	70,2	13,3
ALLAINES	FORGES	179,97	26,1	37,8	62	81,2	13,1
ALLAINES	GANNAT	295,37	27,9	43,9	68,9	92,5	17
ALLAINES	GENDREY	384	42,8	64,2	104,2	139,5	23,7
ALLAINES	GERZAT-VILLE	316,22	29,3	46,7	72,5	96,2	18,1
ALLAINES	GROISSIAT	491,87	53,3	80,6	129,5	173,8	30,1
ALLAINES	GYE	426,33	45,2	67	107,7	144,5	24,5
ALLAINES	JOIGNY	134,82	22,8	32,9	54,4	70,2	11,4
ALLAINES	L ISLE-S/LE-DOUBS	460,42	48,9	73,7	118,5	158,9	27,2
ALLAINES	LA BOISSE	512,45	54,2	82,1	131,3	176,3	30,7
ALLAINES	LA BOISSE - MONTLUEL	490,92	52,2	78,4	123,4	165,1	29,3
ALLAINES	LA COTIERE	496,88	52,8	79,4	127,1	169	29,8
ALLAINES	LA CROIX-CHALON	477,27	51,7	78,2	125,8	168,8	29,1
ALLAINES	LANGRES NORD	317,82	36	52,8	85	113,7	19,2
ALLAINES	LANGRES SUD	324,47	36,6	54,1	87,3	116,1	19,8
ALLAINES	LE MIROIR	433,66	46,9	70,4	114	152,1	26,1
ALLAINES	LES EPRUNES	220,84	29,3	43,4	71,1	93,9	15,7
ALLAINES	MACON NORD	387,92	43,7	65,6	104,8	140	24
ALLAINES	MACON SUD	398,25	44,5	66,9	107	142,8	24,5
ALLAINES	MAGNANT	240,65	31,1	45,7	74,3	98,7	16,3
ALLAINES	MAROLLES-SUR-SEINE	172,45	26,1	37,8	62	81,2	13,1
ALLAINES	MONTIGNY-LE-ROI	337,92	37,5	55,1	89,5	119,7	20,2
ALLAINES	MONTLUCON	240,68	23,4	37,4	57,9	77,3	14,4
ALLAINES	MONTMARAULT	253,28	24,7	39,4	62	82,7	15,1
ALLAINES	NEMOURS	156,36	24,6	35,6	59	75,9	12,3
ALLAINES	NITRY	197,12	27,2	39,9	65,5	86,4	14,1
ALLAINES	NUITS-ST-GEORGES	326,22	38,3	57,4	93,1	123,5	20,9
ALLAINES	PEROUGES	480,07	50,7	76,5	122,3	163,6	28,4
ALLAINES	PONT D AIN	455,25	48,4	73,5	118,4	158,2	27,3
ALLAINES	POUILLY-EN-AUXOIS	271,42	34,1	50,8	82,2	109,6	18,1
ALLAINES	REPLONGES	398,77	43,8	66,3	106,6	142,5	24,4
ALLAINES	RIOM	310,2	29,2	46,6	72,2	96,1	17,9
ALLAINES	ROBECOURT	359,88	38,9	58,1	93,7	125,3	21,2
ALLAINES	SAINT GENIS	488,44	47,9	72,1	114,1	152,3	26,5
ALLAINES	SAINT MAURICE	500,42	53	80	129,5	174,4	29,9
ALLAINES	SAINT THIBAULT	214,42	28,8	42,2	69,6	91,7	15,3
ALLAINES	SEURRE	337,72	39,5	59,1	95	126,8	21,5
ALLAINES	SOIRANS	365,47	41	61,8	99,7	131,5	22,7
ALLAINES	ST AMAND-MONTROND	186,55	19	30,7	47,3	62,4	11,8
ALLAINES	ST MARTIN-DU-FRESNE	471,98	51,5	78,1	124,3	167,2	29,1
ALLAINES	ST-DENIS-LES-SENS	142,56	23,4	34,1	56	72,1	11,8
ALLAINES	ST-GERMAIN-LAXIS	204,5	28,3	41,5	67,6	88,9	14,9
ALLAINES	SYLANS	481,55	52,1	79	125,9	169,1	29,4
ALLAINES	THENNELIERES	226,52	29,9	44	71	93,5	15,9
ALLAINES	TIL CHATEL	354,52	38,8	57,1	93,5	125	21
ALLAINES	TORVILLIERS	198,34	28,3	41,5	67,9	89,2	14,9
ALLAINES	TOURNUS	362,42	41,2	61,7	99,2	131,8	22,6
ALLAINES	URY	168,19	25,3	36,6	60,3	77,8	12,8
ALLAINES	VAL DE SAONE	506,87	50,1	74,2	120,4	161,2	27,6
ALLAINES	VILLE SOUS LAFERTE	268,32	32,5	48	78,8	104,2	17,2
ALLAINES	VILLEFRANCHE-LIMAS	464,22	50,4	75,6	120,8	161,9	27,8
ALLAINES	VILLEFRANCHE-NORD	428,47	46,9	69,8	113,5	151,5	26,2
ALLAINES	VILLEFRANCHE-VILLE	433,77	47,4	71,3	114,2	152,5	26,4
ALLAINES	VILLENEUVE-DONDAGRE	129,55	22,3	32,3	53,4	69	11,2
ALLAINES	VIRIAT	430,44	46,3	69,5	111,3	149,4	26,2
ALLAINES	VULAINES	171,3	26,3	37,8	62	81,1	13,2
ALLAINVILLE	AMBERIEU	491,21	52,3	79,3	128,8	168,9	29,1
ALLAINVILLE	ARLAY	431,72	47,3	71,9	118,8	154,3	25,9
ALLAINVILLE	AUXERRE NORD	189,22	28	41,4	69,7	87,3	14,1
ALLAINVILLE	AUXERRE SUD	200,92	28	41,4	69,7	87,3	14,1
ALLAINVILLE	AVALLON	245,02	31,5	47,1	79,3	100,9	16,8
ALLAINVILLE	BALAN	515,24	53,2	80,9	131,2	171,9	29,7
ALLAINVILLE	BAUME-LES-DAMES	471,72	50,1	76,2	124,4	163,2	27,9
ALLAINVILLE	BEAUNE NORD	336,67	39	59	97,4	125	21,1
ALLAINVILLE	BEAUNE SUD	342,42	40,1	60,4	99,6	128,6	21,7
ALLAINVILLE	BEAUPONT	475,42	50,3	76,5	125,8	164,4	28
ALLAINVILLE	BEAUREPAIRE	447,12	48,4	73,5	120,7	158,3	26,6
ALLAINVILLE	BELLEVILLE S/SAONE	448,12	48,5	73,4	119,4	156,1	26,6
ALLAINVILLE	BERSAILLIN	427,13	47,1	70,8	117,5	152,9	25,8
ALLAINVILLE	BESANCON EST	452,64	47,5	72,9	119,6	156,8	26,4
ALLAINVILLE	BESANCON NORD	438,02	47,5	71,9	118,2	154,2	26
ALLAINVILLE	BESANCON OUEST	428,62	47,5	71,5	117,7	153,2	25,9
ALLAINVILLE	BEYNOST	529,4	55,4	84,5	136,6	179,8	31,2
ALLAINVILLE	BIERRE-LES-SEMUR	270,92	33,3	49,5	83,3	106,4	17,6
ALLAINVILLE	BOURG NORD	449,01	48,7	73,8	119,6	156,8	27
ALLAINVILLE	BOURG SUD	469,44	49,8	75,9	123,3	161,3	28
ALLAINVILLE	BULGNEVILLE	402,47	42,9	64,4	105,6	137,9	23,1
ALLAINVILLE	CHALON NORD	364,52	42,3	63,8	104	135	22,9
ALLAINVILLE	CHALON SUD	370,72	42,3	63,8	104	135,3	22,9
ALLAINVILLE	CHATENOIS	412,62	43,2	65,1	107	139,6	23,6
ALLAINVILLE	CHATILLON-LABORDE	225,84	30,8	45,9	76,5	97,2	16,2
ALLAINVILLE	CHAUMONT-SEMOUTIERS	320,09	36,5	54,7	91,2	117,6	19,4
ALLAINVILLE	CHOISEY	393,83	44,3	66,9	110	143,1	24,1
ALLAINVILLE	CLERMONT-BARRIERE	363,18	36	56,5	88,5	118,4	21,5
ALLAINVILLE	COLOMBEY-LES-BELLES	441,32	45,7	68,6	112,7	148,1	24,7
ALLAINVILLE	COMBRONDE	325,96	31,7	49,5	78	103,7	19,1
ALLAINVILLE	COURTENAY	146,91	23,9	35,2	60,2	74,2	11,9
ALLAINVILLE	DIJON SUD	372,32	42,5	64,2	105,2	136,4	23
ALLAINVILLE	DIJON-ARC S/TILLE	387,48	43,9	66,4	108,6	141	23,9
ALLAINVILLE	DIJON-CRIMOLOIS	419,82	43,1	64,8	107,4	138,7	23,6
ALLAINVILLE	DOLE	396,02	44,3	66,9	110	143,1	24,1
ALLAINVILLE	FEILLENS	424,1	46,3	70,7	115,5	150,8	25,7
ALLAINVILLE	FLEURY-EN-BIERE	213,34	29,3	43,8	73,2	91,9	15,1
ALLAINVILLE	FONTAINEBLEAU	187,91	27,1	40	67,9	84,2	13,6
ALLAINVILLE	FORET DE TRONCAIS	244,35	24,7	39,7	61,3	80,8	15,3
ALLAINVILLE	FORGES	208,57	28,6	42,2	70,9	89,5	14,4
ALLAINVILLE	GANNAT	323,97	31,5	49,4	77,1	103,1	19
ALLAINVILLE	GENDREY	412,6	45,3	68,6	113,1	147,8	25
ALLAINVILLE	GERZAT-VILLE	344,82	32,9	52,2	80,7	106,8	20,1
ALLAINVILLE	GROISSIAT	520,47	55,8	85	138,4	182,1	31,4
ALLAINVILLE	GYE	454,93	47,7	71,4	116,6	152,8	25,8
ALLAINVILLE	JOIGNY	163,42	25,3	37,3	63,3	78,5	12,7
ALLAINVILLE	L ISLE-S/LE-DOUBS	489,02	51,4	78,1	127,4	167,2	28,5
ALLAINVILLE	LA BOISSE	541,05	56,7	86,5	140,2	184,6	32
ALLAINVILLE	LA BOISSE - MONTLUEL	519,52	54,7	82,8	132,3	173,4	30,6
ALLAINVILLE	LA COTIERE	525,48	55,3	83,8	136	177,3	31,1
ALLAINVILLE	LA CROIX-CHALON	505,87	54,2	82,6	134,7	177,1	30,4
ALLAINVILLE	LANGRES NORD	346,42	38,5	57,2	93,9	122	20,5
ALLAINVILLE	LANGRES SUD	353,07	39,1	58,5	96,2	124,4	21,1
ALLAINVILLE	LE MIROIR	462,26	49,4	74,8	122,9	160,4	27,4
ALLAINVILLE	LES EPRUNES	249,44	31,8	47,8	80	102,2	17
ALLAINVILLE	MACON NORD	416,52	46,2	70	113,7	148,3	25,3
ALLAINVILLE	MACON SUD	426,85	47	71,3	115,9	151,1	25,8
ALLAINVILLE	MAGNANT	269,25	33,6	50,1	83,2	107	17,6
ALLAINVILLE	MAROLLES-SUR-SEINE	201,05	28,6	42,2	70,9	89,5	14,4
ALLAINVILLE	MONTIGNY-LE-ROI	366,52	40	59,5	98,4	128	21,5
ALLAINVILLE	MONTLUCON	269,28	27	42,9	66,1	87,9	16,4
ALLAINVILLE	MONTMARAULT	281,88	28,3	44,9	70,2	93,3	17,1
ALLAINVILLE	NEMOURS	184,96	27,1	40	67,9	84,2	13,6
ALLAINVILLE	NITRY	225,72	29,7	44,3	74,4	94,7	15,4
ALLAINVILLE	NUITS-ST-GEORGES	354,82	40,8	61,8	102	131,8	22,2
ALLAINVILLE	PEROUGES	508,67	53,2	80,9	131,2	171,9	29,7
ALLAINVILLE	PONT D AIN	483,85	50,9	77,9	127,3	166,5	28,6
ALLAINVILLE	POUILLY-EN-AUXOIS	300,02	36,6	55,2	91,1	117,9	19,4
ALLAINVILLE	REPLONGES	427,37	46,3	70,7	115,5	150,8	25,7
ALLAINVILLE	RIOM	338,8	32,8	52,1	80,4	106,7	19,9
ALLAINVILLE	ROBECOURT	388,48	41,4	62,5	102,6	133,6	22,5
ALLAINVILLE	SAINT GENIS	517,04	50,4	76,5	123	160,6	27,8
ALLAINVILLE	SAINT MAURICE	529,02	55,5	84,4	138,4	182,7	31,2
ALLAINVILLE	SAINT THIBAULT	243,02	31,3	46,6	78,5	100	16,6
ALLAINVILLE	SEURRE	366,32	42	63,5	103,9	135,1	22,8
ALLAINVILLE	SOIRANS	394,07	43,5	66,2	108,6	139,8	24
ALLAINVILLE	ST AMAND-MONTROND	215,15	22,6	36,2	55,5	73	13,8
ALLAINVILLE	ST MARTIN-DU-FRESNE	500,58	54	82,5	133,2	175,5	30,4
ALLAINVILLE	ST-DENIS-LES-SENS	171,16	25,9	38,5	64,9	80,4	13,1
ALLAINVILLE	ST-GERMAIN-LAXIS	233,1	30,8	45,9	76,5	97,2	16,2
ALLAINVILLE	SYLANS	510,15	54,6	83,4	134,8	177,4	30,7
ALLAINVILLE	THENNELIERES	255,12	32,4	48,4	79,9	101,8	17,2
ALLAINVILLE	TIL CHATEL	383,12	41,3	61,5	102,4	133,3	22,3
ALLAINVILLE	TORVILLIERS	226,94	30,8	45,9	76,8	97,5	16,2
ALLAINVILLE	TOURNUS	391,02	43,7	66,1	108,1	140,1	23,9
ALLAINVILLE	URY	196,79	27,8	41	69,2	86,1	14,1
ALLAINVILLE	VAL DE SAONE	535,47	52,6	78,6	129,3	169,5	28,9
ALLAINVILLE	VILLE SOUS LAFERTE	296,92	35	52,4	87,7	112,5	18,5
ALLAINVILLE	VILLEFRANCHE-LIMAS	492,82	52,9	80	129,7	170,2	29,1
ALLAINVILLE	VILLEFRANCHE-NORD	457,07	49,4	74,2	122,4	159,8	27,5
ALLAINVILLE	VILLEFRANCHE-VILLE	462,37	49,9	75,7	123,1	160,8	27,7
ALLAINVILLE	VILLENEUVE-DONDAGRE	158,15	24,8	36,7	62,3	77,3	12,5
ALLAINVILLE	VIRIAT	459,04	48,8	73,9	120,2	157,7	27,5
ALLAINVILLE	VULAINES	199,9	28,8	42,2	70,9	89,4	14,5
AMBERIEU	ALLAINES	462,61	49,8	74,9	119,9	160,6	27,8
AMBERIEU	ALLAINVILLE	491,21	52,3	79,3	128,8	168,9	29,1
AMBERIEU	AMBOISE CH.RENAULT	539,81	58,4	88,1	140,3	187,7	33
AMBERIEU	ARLAY	101,49	9,3	14,5	22,9	30,7	5,6
AMBERIEU	ARTENAY	449,21	48,8	73,2	117,8	157,8	27
AMBERIEU	AUXERRE NORD	301,99	24,8	38,6	59,8	81,2	15,2
AMBERIEU	AUXERRE SUD	290,29	24,8	38,6	59,8	81,2	15,2
AMBERIEU	AUXY	393,11	36,7	56,5	89,7	120,6	21,4
AMBERIEU	AVALLON	246,19	20	31,6	48,9	66,4	11,9
AMBERIEU	BALAN	24,03	1,5	2,7	3,9	5,5	0,9
AMBERIEU	BAUME-LES-DAMES	231,69	19,2	29,8	47	65,4	11,4
AMBERIEU	BEAUMONT	585,85	50,6	74,9	123,9	168,5	30,1
AMBERIEU	BEAUNE NORD	154,54	12,4	20	30,7	42	7,6
AMBERIEU	BEAUNE SUD	148,79	11,9	19,3	29,6	40,6	7,2
AMBERIEU	BEAUPONT	57,79	5,6	8,9	13	17,9	3,3
AMBERIEU	BEAUREPAIRE	86,09	7,8	12	19,3	25,9	4,9
AMBERIEU	BELLEGARDE	57,41	7,4	11,7	18,6	25,2	4,4
AMBERIEU	BERSAILLIN	115,49	10,1	15,9	24,6	33,7	6,1
AMBERIEU	BESANCON EST	212,61	17,2	27	42,4	58,3	10,3
AMBERIEU	BESANCON NORD	197,99	17,2	26,7	41,9	58,2	10,2
AMBERIEU	BESANCON OUEST	188,59	16,8	26,2	40,9	56,7	10
AMBERIEU	BEYNOST	38,19	3,7	5,4	7,9	11,1	1,9
AMBERIEU	BIERRE-LES-SEMUR	220,29	17,4	27,9	42,7	58,7	10,6
AMBERIEU	BLERE	616,51	65,6	99,5	159,4	209,8	36,6
AMBERIEU	BLOIS	510,11	55,5	83,8	134,6	179,2	31
AMBERIEU	BOURG NORD	42,2	4,2	6,2	9,5	12,9	2,3
AMBERIEU	BOURG SUD	21,77	2,4	3,9	5,9	7,8	1,3
AMBERIEU	BOURGES (LIM.CONC.)	571,11	61,9	94,3	151,3	200,2	34,9
AMBERIEU	BULGNEVILLE	310,49	25,2	36,8	63,7	87,5	15,1
AMBERIEU	CHALON NORD	126,69	10,3	16,2	24,7	33,3	6,1
AMBERIEU	CHALON SUD	120,49	10,3	16,2	24,7	33,3	6,1
AMBERIEU	CHALONS LA VEUVE	441,05	38,1	56,3	96	130,5	22,7
AMBERIEU	CHALONS MOURMELON	449,45	38,1	56,5	96,3	133,1	23,1
AMBERIEU	CHARMONT (LIM.CONC)	362,55	31,3	45,8	78	108,9	18,6
AMBERIEU	CHATEAU-THIERRY	520,75	46,1	67,7	112,4	155,2	27,3
AMBERIEU	CHATENOIS	320,64	25,3	37,2	65,1	89,8	15,4
AMBERIEU	CHATILLON-LABORDE	424,4	34,5	54,6	84,8	116,4	20,9
AMBERIEU	CHAUMONT-SEMOUTIERS	267,77	22,9	32,4	57,3	78,1	13,7
AMBERIEU	CHEMERY	575,91	61,7	93,6	148,7	198,9	34,3
AMBERIEU	CHOISEY	139,38	12,8	19,9	30,8	42,2	7,6
AMBERIEU	CLERMONT EN ARGONNE	500,25	41,8	62,1	103,5	142,3	25,4
AMBERIEU	CLERMONT-BARRIERE	760,59	78,7	119,8	192,1	256,5	44,6
AMBERIEU	COLOMBEY-LES-BELLES	349,34	28,5	41,3	71,7	99,1	16,8
AMBERIEU	COMBRONDE	723,37	74,4	112,8	181,6	241,8	42,2
AMBERIEU	COURTENAY	344,72	29	45,4	69,4	95	17,5
AMBERIEU	DIJON SUD	183,29	14,2	23,7	36,3	49,6	9,2
AMBERIEU	DIJON-ARC S/TILLE	181,9	15,5	21,7	39,6	54,4	9,4
AMBERIEU	DIJON-CRIMOLOIS	179,79	15,4	23,4	37,8	51,2	9,3
AMBERIEU	DOLE	155,99	12,8	19,9	30,8	42,7	7,6
AMBERIEU	DORMANS	495,15	43,8	64,3	107,4	147,6	26
AMBERIEU	EGLETONS	844,12	87,1	133	208,9	281,4	50
AMBERIEU	ELOISE	66,11	8,6	13,8	21,6	29,5	5,3
AMBERIEU	ESCRENNES	416,21	40,1	62,4	100,2	132,8	23,2
AMBERIEU	ESVRES	630,31	66,9	101,6	162,8	214,6	37,4
AMBERIEU	FEILLENS	67,11	5,8	9,2	14,7	20,3	3,7
AMBERIEU	FLEURY-EN-BIERE	411,15	35,4	54,7	85,7	115,3	21,2
AMBERIEU	FONTAINEBLEAU	385,72	31,5	49,4	76,9	105,9	19,2
AMBERIEU	FONTENAY /LOING	370,71	33,5	51	78,9	107,7	19,5
AMBERIEU	FORET DE TRONCAIS	641,76	67,4	103	164,9	218,9	38,4
AMBERIEU	FORGES	407,13	32,3	50,7	79,3	109,3	19,6
AMBERIEU	FRESNES EN WOEVRE	540,55	45,9	68,6	114	155,9	27,8
AMBERIEU	GANNAT	721,38	74,2	112,7	180,7	241,2	42,1
AMBERIEU	GENDREY	172,57	14,5	22,1	34,3	48,3	8,3
AMBERIEU	GERZAT-VILLE	742,23	75,6	115,5	184,3	244,9	43,2
AMBERIEU	GONDREVILLE A77/N	377,91	34,6	53,2	82,6	111,2	20,1
AMBERIEU	GONDREVILLE A77/S	424,66	38,6	59,2	92,3	124,5	22,5
AMBERIEU	GROISSIAT	50,98	5,6	9,3	14,6	20,1	3,5
AMBERIEU	GYE	362,95	29,3	42,7	73,7	101,2	17,4
AMBERIEU	JARNY	563,05	47,4	71,3	116,4	157,9	28,8
AMBERIEU	JOIGNY	327,79	26	40,8	64,5	88,6	15,9
AMBERIEU	L ISLE-S/LE-DOUBS	248,99	20,8	32,6	50,7	70,2	12,3
AMBERIEU	LA BOISSE	49,84	5	7	11,9	16,6	3
AMBERIEU	LA BOISSE - MONTLUEL	28,31	3	4,3	6,6	9,1	1,4
AMBERIEU	LA COTIERE	34,27	3,4	5,2	7,7	10,9	1,7
AMBERIEU	LA CROIX-CHALON	36,38	4,3	6,8	10,6	14,5	2,5
AMBERIEU	LA FOLIE-B/PARIS	527,31	56,7	84,4	138,8	183,2	31,9
AMBERIEU	LAMOTTE-BEUVRON	499,41	54,3	81,7	131,2	175,4	30,5
AMBERIEU	LANGRES NORD	254,44	20,8	30,4	52,9	72,9	12,5
AMBERIEU	LANGRES SUD	234,79	19,6	28,2	49	67,4	11,7
AMBERIEU	LE MIROIR	70,95	6,5	9,8	15,2	21	3,8
AMBERIEU	LES EPRUNES	448	35,7	55,8	88	120,7	21,7
AMBERIEU	MACON CENTRE	69,84	5,8	9,2	14,7	20,4	3,7
AMBERIEU	MACON NORD	74,69	6	10,2	15,1	20,6	3,9
AMBERIEU	MAGNANT	318,61	26,3	38,7	66,1	90,4	16,1
AMBERIEU	MANZAT	735,12	75,7	115,8	184	245,3	43,2
AMBERIEU	MAROLLES-SUR-SEINE	399,61	32,3	50,7	79,3	109,3	19,6
AMBERIEU	MER	492,91	54,2	80,8	129,4	172,9	30,3
AMBERIEU	MEUNG SUR LOIRE	476,41	52,1	78,1	124,2	166,8	29
AMBERIEU	MONT CHOISY	421,25	36,2	53,6	91,3	125,9	21,8
AMBERIEU	MONTIGNY-LE-ROI	274,54	21,9	32	57,5	78,4	13,2
AMBERIEU	MONTLUCON	666,69	69,7	106,2	169,7	226	39,5
AMBERIEU	MONTMARAULT	679,29	71	108,2	173,8	231,4	40,2
AMBERIEU	MONTREUIL (REIMS)	541,25	48,4	70,6	116,7	159,1	28,4
AMBERIEU	MONTREUIL AUX LIONS	567,55	50,4	73,6	121,4	165,7	29,7
AMBERIEU	NEMOURS	382,77	31,5	49,4	76,9	105,9	19,2
AMBERIEU	NITRY	265,49	21,3	33,6	52	71,2	13
AMBERIEU	NUITS-ST-GEORGES	165,79	13,2	21,3	32,8	44,8	8,1
AMBERIEU	OLIVET	467,11	51	76,6	122,8	163,4	28,5
AMBERIEU	ORLEANS-CENTRE	460,71	50,3	75,7	121	161	27,9
AMBERIEU	ORLEANS-NORD	454,71	49,5	74,3	119	159,3	27,5
AMBERIEU	PEROUGES	17,46	1,5	2,7	3,9	5,5	0,9
AMBERIEU	PONT D AIN	7,36	0,8	1,1	1,8	2,8	0,4
AMBERIEU	POUILLY-EN-AUXOIS	191,19	15,3	23,9	36,7	50,3	9,4
AMBERIEU	REIMS EST (TAISSY)	468,25	41,4	60,7	102,9	140,6	24,4
AMBERIEU	REIMS NORD (ORMES)	474,85	42,4	62,4	104,6	144	24,8
AMBERIEU	REIMS OUEST (THILLOIS)	481,45	43	63,1	105,2	145,2	25,3
AMBERIEU	REIMS SUD	467,25	41,2	60,3	101,9	139,6	24,3
AMBERIEU	REPLONGES	63,84	5,8	9,2	14,7	20,3	3,7
AMBERIEU	RIOM	736,21	75,5	115,4	184	244,8	43
AMBERIEU	ROBECOURT	296,5	22,3	33,9	60,7	82,8	14
AMBERIEU	SAINT GENIS	53,81	4,6	6,9	10,8	14,9	2,9
AMBERIEU	SAINT MAURICE	288,99	25,2	38,7	61,5	84,4	15
AMBERIEU	SAINT THIBAULT	344,84	29	43,3	73,4	102	17,6
AMBERIEU	SALBRIS	518,11	55,9	84,7	135,5	181,5	31,3
AMBERIEU	SAVIGNY /CLAIRIS	345,51	28,5	44,3	68,9	95,1	17,3
AMBERIEU	SEURRE	166,89	13,8	21,5	33,8	47	8
AMBERIEU	SOIRANS	158,19	13,8	21,8	33,9	46,6	8,5
AMBERIEU	SOMMESOUS	399,95	34,3	50,7	86,1	119,3	20,5
AMBERIEU	ST AMAND-MONTROND	612,56	65,3	99,5	159,1	211,1	36,9
AMBERIEU	ST ETIENNE AU TEMPLE	449,45	38,1	56,5	96,3	133,1	23,1
AMBERIEU	ST GERMAIN LES VERGNE	888,12	91,9	141	221,1	298	53
AMBERIEU	ST GIBRIEN	428,65	37	54,7	92,9	128,3	22,2
AMBERIEU	ST HILAIRE	349,71	29,4	45,6	71,1	98	17,7
AMBERIEU	ST JULIEN SANCY	778,12	79,9	122,5	194	258,7	45,9
AMBERIEU	ST MARTIN-DU-FRESNE	31,09	3,7	5,7	9	12,4	2
AMBERIEU	ST ROMAIN SUR CHER	587,11	62,6	95,2	151,3	202,8	34,8
AMBERIEU	ST-DENIS-LES-SENS	369,72	30,1	47,5	73,7	101,2	17,6
AMBERIEU	ST-GERMAIN-LAXIS	431,66	34,5	54,6	84,8	116,4	20,9
AMBERIEU	STE MENEHOULD	482,45	40,1	59,9	101,5	139,8	24,6
AMBERIEU	SYLANS	40,66	4,8	7,3	11,7	16,2	2,7
AMBERIEU	THENNELIERES	348,76	29,4	43,1	73,9	102,9	17,5
AMBERIEU	TIL CHATEL	204,74	17,2	24,5	42,8	59,2	10,2
AMBERIEU	TORVILLIERS	360,92	29,6	43,4	73,4	102,1	17,6
AMBERIEU	TOURNUS	100,19	8,3	13,2	19,8	27,3	5,1
AMBERIEU	TOURS-C/MONNAIE	568,01	62,5	93,4	148,6	198,5	35,2
AMBERIEU	TULLE EST	862,12	89,2	136,8	214	286,4	51,2
AMBERIEU	TULLE NORD	870,12	89,8	137,8	214,8	290,8	51,6
AMBERIEU	URY	394,6	31,5	49,4	76,9	106,6	19,2
AMBERIEU	USSEL EST	802,12	82,5	126,8	199,8	267,2	47,2
AMBERIEU	USSEL OUEST	819,12	84,6	129,5	204	273,3	48,3
AMBERIEU	VAL DE SAONE	72,24	6,8	10,8	17,2	23,6	4,4
AMBERIEU	VALLEE DE L'AUBE	375,65	32,4	47,6	80,8	112,5	19,3
AMBERIEU	VATRY	404,25	34,8	51,2	86,2	120,6	20,6
AMBERIEU	VEIGNE	649,11	68,3	104,4	167,2	219,9	38,2
AMBERIEU	VERDUN	540,55	45,9	68,6	114	155,9	27,8
AMBERIEU	VIERZON-EST	544,81	58,7	88,4	142,9	189,6	33
AMBERIEU	VIERZON-NORD	539,11	57,9	87,7	142	188,9	32,4
AMBERIEU	VILLE SOUS LAFERTE	290,94	24,4	35,4	60,7	83,7	14,6
AMBERIEU	VILLEFRANCHE S/ CHER	554,61	59,8	90,8	144,5	193	33,3
