Autoroute entrée	Péage entrée	Ville entrée	Autoroute sortie	Péage sortie	Ville sortie	Classe 1	Classe 2	Classe 3	Classe 4	Classe 5
A10	10	DOURDAN	A10	10	PARIS (LA FOLIE BESSIN)	1,7	3,9	4,5	5,8	1
A10	10	PARIS (LA FOLIE BESSIN)	A10	10	DOURDAN	1,7	3,9	4,5	5,8	1
A10	11	ALLAINVILLE	A42	8	AMBERIEU EN BUGEY	52,3	79,3	128,8	168,9	29,1
A10	11	ALLAINVILLE	A39	7.1	ARLAY	47,3	71,9	118,8	154,3	25,9
A10	11	ALLAINVILLE	A10	13	ARTENAY	3,6	6	10,8	11,5	2,4
A10	11	ALLAINVILLE	A6	19	AUXERRE NORD	28	41,4	69,7	87,3	14,1
A10	11	ALLAINVILLE	A6	20	AUXERRE SUD	28	41,4	69,7	87,3	14,1
A10	11	ALLAINVILLE	A19	6	AUXY	12,9	19,6	34,6	40,8	6,7
A10	11	ALLAINVILLE	A6	22	AVALLON	31,5	47,1	79,3	100,9	16,8
A10	11	ALLAINVILLE	A42	6	BALAN	53,2	80,9	131,2	171,9	29,7
A10	11	ALLAINVILLE	A4	-	BARRIERE DE MONTREUIL AUX LIONS	53,4	79,1	129,2	166,6	29,2
A10	11	ALLAINVILLE	A36	5	BAUME-LES-DAMES	50,1	76,2	124,4	163,2	27,9
A10	11	ALLAINVILLE	A4	-	BEAUMONT	53,6	80,4	131,7	169,4	29,6
A10	11	ALLAINVILLE	A6	24	BEAUNE NORD	39	59	97,4	125	21,1
A10	11	ALLAINVILLE	A6	24.1	BEAUNE SUD	40,1	60,4	99,6	128,6	21,7
A10	11	ALLAINVILLE	A39	10	BEAUPONT	50,3	76,5	125,8	164,4	28
A10	11	ALLAINVILLE	A39	8	BEAUREPAIRE	48,4	73,5	120,7	158,3	26,6
A10	11	ALLAINVILLE	A40	10	BELLEGARDE	58,5	89,4	144,8	191	32,9
A10	11	ALLAINVILLE	A6	30	BELLEVILLE SUR SAONE	48,5	73,4	119,4	156,1	26,6
A10	11	ALLAINVILLE	A391	-	BERSAILLIN	47,1	70,8	117,5	152,9	25,8
A10	11	ALLAINVILLE	A36	4.1	BESANCON EST	47,5	72,9	119,6	156,8	26,4
A10	11	ALLAINVILLE	A36	4	BESANCON NORD	47,5	71,9	118,2	154,2	26
A10	11	ALLAINVILLE	A36	3	BESANCON OUEST	47,5	71,5	117,7	153,2	25,9
A10	11	ALLAINVILLE	A42	-	BEYNOST	55,4	84,5	136,6	179,8	31,2
A10	11	ALLAINVILLE	A6	23	BIERRE-LES-SEMUR	33,3	49,5	83,3	106,4	17,6
A10	11	ALLAINVILLE	A85	11	BLERE	22,9	36,7	56,9	71,7	13,8
A10	11	ALLAINVILLE	A10	17	BLOIS	12,7	20,6	32,2	41,1	8,1
A10	11	ALLAINVILLE	A40	5	BOURG NORD	48,7	73,8	119,6	156,8	27
A10	11	ALLAINVILLE	A40	7	BOURG SUD	49,8	75,9	123,3	161,3	28
A10	11	ALLAINVILLE	A71	7	BOURGES	19,2	31	47,7	62,1	11,8
A10	11	ALLAINVILLE	A31	9	BULGNEVILLE	42,9	64,4	105,6	137,9	23,1
A10	11	ALLAINVILLE	A6	25	CHALON NORD	42,3	63,8	104	135	22,9
A10	11	ALLAINVILLE	A6	26	CHALON SUD	42,3	63,8	104	135,3	22,9
A10	11	ALLAINVILLE	A4	27	CHALONS - LA VEUVE	41,1	61,8	103,8	131,4	22,2
A10	11	ALLAINVILLE	A26	22	CHARMONT	34,3	51,3	85,8	109,8	18,1
A10	11	ALLAINVILLE	A10	18	CHATEAU-RENAULT	14,5	22,9	37,6	49,1	9,2
A10	11	ALLAINVILLE	A4	20	CHATEAU-THIERRY	49,1	73,2	120,2	156,1	26,8
A10	11	ALLAINVILLE	A31	10	CHATENOIS	43,2	65,1	107	139,6	23,6
A10	11	ALLAINVILLE	A5	16	CHATILLON-LABORDE	30,8	45,9	76,5	97,2	16,2
A10	11	ALLAINVILLE	A5	24	CHAUMONT-SEMOUTIERS	36,5	54,7	91,2	117,6	19,4
A10	11	ALLAINVILLE	A39	6	CHOISEY	44,3	66,9	110	143,1	24,1
A10	11	ALLAINVILLE	A71	-	CLERMONT	36	56,5	88,5	118,4	21,5
A10	11	ALLAINVILLE	A4	29.1	CLERMONT EN ARGONNE	44,8	67,6	111,3	143,2	24,9
A10	11	ALLAINVILLE	A31	11	COLOMBEY-LES-BELLES	45,7	68,6	112,7	148,1	24,7
A10	11	ALLAINVILLE	A71	12.1	COMBRONDE	31,7	49,5	78	103,7	19,1
A10	11	ALLAINVILLE	A6	17	COURTENAY	23,9	35,2	60,2	74,2	11,9
A10	11	ALLAINVILLE	A39	-	CRIMOLOIS	43,1	64,8	107,4	138,7	23,6
A10	11	ALLAINVILLE	A311	-	DIJON SUD	42,5	64,2	105,2	136,4	23
A10	11	ALLAINVILLE	A31	4	DIJON-ARC SUR TILLE	43,9	66,4	108,6	141	23,9
A10	11	ALLAINVILLE	A36	2	DOLE	44,3	66,9	110	143,1	24,1
A10	11	ALLAINVILLE	A4	21	DORMANS	46,8	69,8	115,2	148,5	25,5
A10	11	ALLAINVILLE	A89	22	EGLETONS	44,4	69,7	105,3	143,3	26,9
A10	11	ALLAINVILLE	A40	11	ELOISE / ANNECY	59,7	91,5	147,8	195,3	33,8
A10	11	ALLAINVILLE	A4	23	EPERNAY	44,2	65,8	109,7	140,5	23,8
A10	11	ALLAINVILLE	A19	7	ESCRENNES	9,6	14,9	24,1	28,6	4,9
A10	11	ALLAINVILLE	A85	10	ESVRES	23,9	38,8	60,2	76,5	14,6
A10	11	ALLAINVILLE	A40	2	FEILLENS	46,3	70,7	115,5	150,8	25,7
A10	11	ALLAINVILLE	A6	-	FLEURY-EN-BIERE	29,3	43,8	73,2	91,9	15,1
A10	11	ALLAINVILLE	A6	15	FONTAINEBLEAU	27,1	40	67,9	84,2	13,6
A10	11	ALLAINVILLE	A19	5	FONTENAY SUR LOING	16,2	26,1	45,3	53,7	8,6
A10	11	ALLAINVILLE	A71	9	FORET DE TRONCAIS	24,7	39,7	61,3	80,8	15,3
A10	11	ALLAINVILLE	A5	17	FORGES	28,6	42,2	70,9	89,5	14,4
A10	11	ALLAINVILLE	A4	32	FRESNES EN WOEVRE	48,9	74,1	121,8	156,8	27,3
A10	11	ALLAINVILLE	A719	-	GANNAT	31,5	49,4	77,1	103,1	19
A10	11	ALLAINVILLE	A36	2.1	GENDREY	45,3	68,6	113,1	147,8	25
A10	11	ALLAINVILLE	A71	14	GERZAT	32,9	52,2	80,7	106,8	20,1
A10	11	ALLAINVILLE	A19	-	GONDREVILLE LA FRANCHE NORD	15,1	23,2	41,7	50,2	8
A10	11	ALLAINVILLE	A19	-	GONDREVILLE LA FRANCHE SUD	19,1	29,2	51,4	63,5	10,4
A10	11	ALLAINVILLE	A404	-	GROISSIAT	55,8	85	138,4	182,1	31,4
A10	11	ALLAINVILLE	A31	-	GYE	47,7	71,4	116,6	152,8	25,8
A10	11	ALLAINVILLE	A10	12	JANVILLE (ALLAINES)	2,6	3,7	6,6	8,9	1,7
A10	11	ALLAINVILLE	A4	33	JARNY	50,4	76,8	124,2	158,8	28,3
A10	11	ALLAINVILLE	A6	18	JOIGNY	25,3	37,3	63,3	78,5	12,7
A10	11	ALLAINVILLE	A36	6	L'ISLE-SUR-LE-DOUBS	51,4	78,1	127,4	167,2	28,5
A10	11	ALLAINVILLE	A432	-	LA BOISSE	56,7	86,5	140,2	184,6	32
A10	11	ALLAINVILLE	A42	5.1	LA BOISSE - MONTLUEL	54,7	82,8	132,3	173,4	30,6
A10	11	ALLAINVILLE	A432	-	LA COTIERE	55,3	83,8	136	177,3	31,1
A10	11	ALLAINVILLE	A404	9	LA CROIX-CHALON	54,2	82,6	134,7	177,1	30,4
A10	11	ALLAINVILLE	A71	3	LAMOTTE BEUVRON	11,5	18,6	28,3	37,3	7,4
A10	11	ALLAINVILLE	A31	7	LANGRES NORD	38,5	57,2	93,9	122	20,5
A10	11	ALLAINVILLE	A31	6	LANGRES SUD	39,1	58,5	96,2	124,4	21,1
A10	11	ALLAINVILLE	A39	9	LE MIROIR	49,4	74,8	122,9	160,4	27,4
A10	11	ALLAINVILLE	A5	-	LES EPRUNES	31,8	47,8	80	102,2	17
A10	11	ALLAINVILLE	A6	28	MACON NORD	46,2	70	113,7	148,3	25,3
A10	11	ALLAINVILLE	A6	29	MACON SUD	47	71,3	115,9	151,1	25,8
A10	11	ALLAINVILLE	A5	22	MAGNANT	33,6	50,1	83,2	107	17,6
A10	11	ALLAINVILLE	A89	27	MANZAT	33	52,5	80,4	107,2	20,1
A10	11	ALLAINVILLE	A5	18	MAROLLES-SUR-SEINE	28,6	42,2	70,9	89,5	14,4
A10	11	ALLAINVILLE	A10	16	MER	11,1	17,2	26,8	34,8	7,2
A10	11	ALLAINVILLE	A10	15	MEUNG	8,2	12,8	21,8	28,4	5
A10	11	ALLAINVILLE	A26	18	MONT CHOISY	39,2	59,1	99,1	126,8	21,3
A10	11	ALLAINVILLE	A31	8	MONTIGNY-LE-ROI	40	59,5	98,4	128	21,5
A10	11	ALLAINVILLE	A71	10	MONTLUCON	27	42,9	66,1	87,9	16,4
A10	11	ALLAINVILLE	A71	11	MONTMARAULT	28,3	44,9	70,2	93,3	17,1
A10	11	ALLAINVILLE	A4	19	MONTREUIL AUX LIONS	51,4	76,1	124,5	160	27,9
A10	11	ALLAINVILLE	A6	16	NEMOURS	27,1	40	67,9	84,2	13,6
A10	11	ALLAINVILLE	A6	21	NITRY	29,7	44,3	74,4	94,7	15,4
A10	11	ALLAINVILLE	A31	1	NUITS-SAINT-GEORGES	40,8	61,8	102	131,8	22,2
A10	11	ALLAINVILLE	A71	2	OLIVET	7,7	12,8	19,2	25,3	4,9
A10	11	ALLAINVILLE	A71	1	ORLEANS CENTRE	6,7	10,4	17,2	22,9	4,2
A10	11	ALLAINVILLE	A10	14	ORLEANS NORD	6,1	10,1	15,2	20,7	3,7
A10	11	ALLAINVILLE	A26	-	ORMES	45,4	67,9	112,4	144,9	24,3
A10	11	ALLAINVILLE	A10	-	PARIS (LA FOLIE BESSIN)	3,8	5,9	9,2	12,3	2,4
A10	11	ALLAINVILLE	A42	7	PEROUGES	53,2	80,9	131,2	171,9	29,7
A10	11	ALLAINVILLE	A42	9	PONT D'AIN	50,9	77,9	127,3	166,5	28,6
A10	11	ALLAINVILLE	A6	-	POUILLY-EN-AUXOIS	36,6	55,2	91,1	117,9	19,4
A10	11	ALLAINVILLE	A4	-	REIMS - TAISSY	44,4	66,2	110,7	141,5	23,9
A10	11	ALLAINVILLE	A4	22	REIMS - TINQUEUX	46	68,6	113	146,1	24,8
A10	11	ALLAINVILLE	A40	3	REPLONGES	46,3	70,7	115,5	150,8	25,7
A10	11	ALLAINVILLE	A71	13	RIOM	32,8	52,1	80,4	106,7	19,9
A10	11	ALLAINVILLE	A31	8.1	ROBECOURT	41,4	62,5	102,6	133,6	22,5
A10	11	ALLAINVILLE	A85	14	ROMORANTIN	17,2	27,4	40,6	54,9	10,5
A10	11	ALLAINVILLE	A85	12	SAINT AIGNAN SUR CHER	20	31,5	49,6	64,5	12
A10	11	ALLAINVILLE	A71	8	SAINT AMAND	22,6	36,2	55,5	73	13,8
A10	11	ALLAINVILLE	A19	1	SAINT DENIS-LES-SENS	25,9	38,5	64,9	80,4	13,1
A10	11	ALLAINVILLE	A4	28	SAINT ETIENNE AU TEMPLE	41,1	62	104,1	134	22,6
A10	11	ALLAINVILLE	A40	4	SAINT GENIS	50,4	76,5	123	160,6	27,8
A10	11	ALLAINVILLE	A5	15	SAINT GERMAIN-LAXIS	30,8	45,9	76,5	97,2	16,2
A10	11	ALLAINVILLE	A26	17	SAINT GIBRIEN	40	60,2	100,7	129,2	21,7
A10	11	ALLAINVILLE	A19	4	SAINT HILAIRE LES ANDRESIS	20,3	30,5	53,3	63,4	10,5
A10	11	ALLAINVILLE	A40	8	SAINT MARTIN-DU-FRESNE	54	82,5	133,2	175,5	30,4
A10	11	ALLAINVILLE	A36	-	SAINT MAURICE	55,5	84,4	138,4	182,7	31,2
A10	11	ALLAINVILLE	A5	21	SAINT THIBAULT	31,3	46,6	78,5	100	16,6
A10	11	ALLAINVILLE	A4	29	SAINTE MENEHOULD	43,1	65,4	109,3	140,7	24,1
A10	11	ALLAINVILLE	A71	4	SALBRIS	13,1	20,6	32,9	43,4	8,4
A10	11	ALLAINVILLE	A19	3	SAVIGNY SUR CLAIRIS	21,2	31,8	55,5	66,5	10,8
A10	11	ALLAINVILLE	A85	13	SELLES SUR CHER	19,1	29,9	46,1	60,8	11,5
A10	11	ALLAINVILLE	A36	1	SEURRE	42	63,5	103,9	135,1	22,8
A10	11	ALLAINVILLE	A39	5	SOIRANS	43,5	66,2	108,6	139,8	24
A10	11	ALLAINVILLE	A26	20	SOMMESOUS	37,3	56,2	93,9	120,2	20
A10	11	ALLAINVILLE	A89	-	ST GERMAIN LES VERGNES	49,2	77,7	117,5	159,9	29,9
A10	11	ALLAINVILLE	A89	25	ST JULIEN / SANCY	37,2	59,2	90,4	120,6	22,8
A10	11	ALLAINVILLE	A40	9	SYLANS	54,6	83,4	134,8	177,4	30,7
A10	11	ALLAINVILLE	A26	23	THENNELIERES	32,4	48,4	79,9	101,8	17,2
A10	11	ALLAINVILLE	A31	5	TIL CHATEL	41,3	61,5	102,4	133,3	22,3
A10	11	ALLAINVILLE	A5	20	TORVILLIERS	30,8	45,9	76,8	97,5	16,2
A10	11	ALLAINVILLE	A6	27	TOURNUS	43,7	66,1	108,1	140,1	23,9
A10	11	ALLAINVILLE	A10	-	TOURS CENTRE (MONNAIE)	18,9	29,5	45,7	60,4	11,9
A10	11	ALLAINVILLE	A89	21	TULLE EST	46,5	73,5	110,4	148,3	28,1
A10	11	ALLAINVILLE	A89	20	TULLE NORD	47,1	74,5	111,2	152,7	28,5
A10	11	ALLAINVILLE	A6	14	URY	27,8	41	69,2	86,1	14,1
A10	11	ALLAINVILLE	A89	24	USSEL EST	39,8	63,5	96,2	129,1	24,1
A10	11	ALLAINVILLE	A89	23	USSEL OUEST	41,9	66,2	100,4	135,2	25,2
A10	11	ALLAINVILLE	A406	-	VAL DE SAONE	52,6	78,6	129,3	169,5	28,9
A10	11	ALLAINVILLE	A26	21	VALLEE DE L'AUBE	35,4	53,1	88,6	113,4	18,8
A10	11	ALLAINVILLE	A26	19	VATRY	37,8	56,7	94	121,5	20,1
A10	11	ALLAINVILLE	A85	-	VEIGNE	25,4	41,4	64,8	81,8	15,4
A10	11	ALLAINVILLE	A4	31	VERDUN	48,9	74,1	121,8	156,8	27,3
A10	11	ALLAINVILLE	A71	6	VIERZON EST	15,5	24,6	40	51,5	9,7
A10	11	ALLAINVILLE	A71	5	VIERZON NORD	15,3	24,5	38,4	50,8	9,6
A10	11	ALLAINVILLE	A5	23	VILLE SOUS LA FERTE	35	52,4	87,7	112,5	18,5
A10	11	ALLAINVILLE	A6	31.1	VILLEFRANCHE NORD	49,4	74,2	122,4	159,8	27,5
A10	11	ALLAINVILLE	A6	-	VILLEFRANCHE-LIMAS	52,9	80	129,7	170,2	29,1
A10	11	ALLAINVILLE	A6	31.2	VILLEFRANCHE-VILLE	49,9	75,7	123,1	160,8	27,7
A10	11	ALLAINVILLE	A19	2	VILLENEUVE-DONDAGRE	24,8	36,7	62,3	77,3	12,5
A10	11	ALLAINVILLE	A40	6	VIRIAT	48,8	73,9	120,2	157,7	27,5
A10	11	ALLAINVILLE	A40	-	VIRY	63,5	98,1	158	208,5	36,2
A10	11	ALLAINVILLE	A4	30	VOIE SACREE	46,6	70,6	114,6	148,5	25,9
A10	11	ALLAINVILLE	A5	19	VULAINES	28,8	42,2	70,9	89,4	14,5
A10	11	ALLAINVILLE	A89	26	VULCANIA-BROMONT	35,1	55,5	85,2	114	21,3
A10	12	JANVILLE (ALLAINES)	A10	11	ALLAINVILLE	2,6	3,7	6,6	8,9	1,7
A10	12	JANVILLE (ALLAINES)	A42	8	AMBERIEU EN BUGEY	49,8	74,9	119,9	160,6	27,8
A10	12	JANVILLE (ALLAINES)	A39	7.1	ARLAY	44,8	67,5	109,9	146	24,6
A10	12	JANVILLE (ALLAINES)	A10	13	ARTENAY	1,1	1,5	2,5	2,9	0,7
A10	12	JANVILLE (ALLAINES)	A6	19	AUXERRE NORD	25,5	37	60,8	79	12,8
A10	12	JANVILLE (ALLAINES)	A6	20	AUXERRE SUD	25,5	37	60,8	79	12,8
A10	12	JANVILLE (ALLAINES)	A19	6	AUXY	10,4	15,2	25,7	32,5	5,4
A10	12	JANVILLE (ALLAINES)	A6	22	AVALLON	29	42,7	70,4	92,6	15,5
A10	12	JANVILLE (ALLAINES)	A42	6	BALAN	50,7	76,5	122,3	163,6	28,4
A10	12	JANVILLE (ALLAINES)	A4	-	BARRIERE DE MONTREUIL AUX LIONS	50,9	74,7	120,3	158,3	27,9
A10	12	JANVILLE (ALLAINES)	A36	5	BAUME-LES-DAMES	47,6	71,8	115,5	154,9	26,6
A10	12	JANVILLE (ALLAINES)	A4	-	BEAUMONT	51,1	76	122,8	161,1	28,3
A10	12	JANVILLE (ALLAINES)	A6	24	BEAUNE NORD	36,5	54,6	88,5	116,7	19,8
A10	12	JANVILLE (ALLAINES)	A6	24.1	BEAUNE SUD	37,6	56	90,7	120,3	20,4
A10	12	JANVILLE (ALLAINES)	A39	10	BEAUPONT	47,8	72,1	116,9	156,1	26,7
A10	12	JANVILLE (ALLAINES)	A39	8	BEAUREPAIRE	45,9	69,1	111,8	150	25,3
A10	12	JANVILLE (ALLAINES)	A40	10	BELLEGARDE	56	85	135,9	182,7	31,6
A10	12	JANVILLE (ALLAINES)	A6	30	BELLEVILLE SUR SAONE	46	69	110,5	147,8	25,3
A10	12	JANVILLE (ALLAINES)	A391	-	BERSAILLIN	44,6	66,4	108,6	144,6	24,5
A10	12	JANVILLE (ALLAINES)	A36	4.1	BESANCON EST	45	68,5	110,7	148,5	25,1
A10	12	JANVILLE (ALLAINES)	A36	4	BESANCON NORD	45	67,5	109,3	145,9	24,7
A10	12	JANVILLE (ALLAINES)	A36	3	BESANCON OUEST	45	67,1	108,8	144,9	24,6
A10	12	JANVILLE (ALLAINES)	A42	-	BEYNOST	52,9	80,1	127,7	171,5	29,9
A10	12	JANVILLE (ALLAINES)	A6	23	BIERRE-LES-SEMUR	30,8	45,1	74,4	98,1	16,3
A10	12	JANVILLE (ALLAINES)	A85	11	BLERE	20,3	31,4	49,2	62,2	12,3
A10	12	JANVILLE (ALLAINES)	A10	17	BLOIS	8,8	14,6	23,9	30,7	5,4
A10	12	JANVILLE (ALLAINES)	A40	5	BOURG NORD	46,2	69,4	110,7	148,5	25,7
A10	12	JANVILLE (ALLAINES)	A40	7	BOURG SUD	47,3	71,5	114,4	153	26,7
A10	12	JANVILLE (ALLAINES)	A71	7	BOURGES	15,6	25,5	39,5	51,5	9,8
A10	12	JANVILLE (ALLAINES)	A31	9	BULGNEVILLE	40,4	60	96,7	129,6	21,8
A10	12	JANVILLE (ALLAINES)	A6	25	CHALON NORD	39,8	59,4	95,1	126,7	21,6
A10	12	JANVILLE (ALLAINES)	A6	26	CHALON SUD	39,8	59,4	95,1	127	21,6
A10	12	JANVILLE (ALLAINES)	A4	27	CHALONS - LA VEUVE	38,6	57,4	94,9	123,1	20,9
A10	12	JANVILLE (ALLAINES)	A26	22	CHARMONT	31,8	46,9	76,9	101,5	16,8
A10	12	JANVILLE (ALLAINES)	A10	18	CHATEAU-RENAULT	11,8	18,5	30,1	37,8	7,8
A10	12	JANVILLE (ALLAINES)	A4	20	CHATEAU-THIERRY	46,6	68,8	111,3	147,8	25,5
A10	12	JANVILLE (ALLAINES)	A31	10	CHATENOIS	40,7	60,7	98,1	131,3	22,3
A10	12	JANVILLE (ALLAINES)	A5	16	CHATILLON-LABORDE	28,3	41,5	67,6	88,9	14,9
A10	12	JANVILLE (ALLAINES)	A5	24	CHAUMONT-SEMOUTIERS	34	50,3	82,3	109,3	18,1
A10	12	JANVILLE (ALLAINES)	A39	6	CHOISEY	41,8	62,5	101,1	134,8	22,8
A10	12	JANVILLE (ALLAINES)	A71	-	CLERMONT	32,4	51	80,3	107,8	19,5
A10	12	JANVILLE (ALLAINES)	A4	29.1	CLERMONT EN ARGONNE	42,3	63,2	102,4	134,9	23,6
A10	12	JANVILLE (ALLAINES)	A31	11	COLOMBEY-LES-BELLES	43,2	64,2	103,8	139,8	23,4
A10	12	JANVILLE (ALLAINES)	A71	12.1	COMBRONDE	28,1	44	69,8	93,1	17,1
A10	12	JANVILLE (ALLAINES)	A6	17	COURTENAY	21,4	30,8	51,3	65,9	10,6
A10	12	JANVILLE (ALLAINES)	A39	-	CRIMOLOIS	40,6	60,4	98,5	130,4	22,3
A10	12	JANVILLE (ALLAINES)	A311	-	DIJON SUD	40	59,8	96,3	128,1	21,7
A10	12	JANVILLE (ALLAINES)	A31	4	DIJON-ARC SUR TILLE	41,4	62	99,7	132,7	22,6
A10	12	JANVILLE (ALLAINES)	A36	2	DOLE	41,8	62,5	101,1	134,8	22,8
A10	12	JANVILLE (ALLAINES)	A4	21	DORMANS	44,3	65,4	106,3	140,2	24,2
A10	12	JANVILLE (ALLAINES)	A89	22	EGLETONS	40,8	64,2	97,1	132,7	24,9
A10	12	JANVILLE (ALLAINES)	A40	11	ELOISE / ANNECY	57,2	87,1	138,9	187	32,5
A10	12	JANVILLE (ALLAINES)	A4	23	EPERNAY	41,7	61,4	100,8	132,2	22,5
A10	12	JANVILLE (ALLAINES)	A19	7	ESCRENNES	7,1	10,5	15,2	20,3	3,6
A10	12	JANVILLE (ALLAINES)	A85	10	ESVRES	21,4	33,4	52,4	66,2	13,1
A10	12	JANVILLE (ALLAINES)	A40	2	FEILLENS	43,8	66,3	106,6	142,5	24,4
A10	12	JANVILLE (ALLAINES)	A6	-	FLEURY-EN-BIERE	26,8	39,4	64,3	83,6	13,8
A10	12	JANVILLE (ALLAINES)	A6	15	FONTAINEBLEAU	24,6	35,6	59	75,9	12,3
A10	12	JANVILLE (ALLAINES)	A19	5	FONTENAY SUR LOING	13,7	21,7	36,4	45,4	7,3
A10	12	JANVILLE (ALLAINES)	A71	9	FORET DE TRONCAIS	21,1	34,2	53,1	70,2	13,3
A10	12	JANVILLE (ALLAINES)	A5	17	FORGES	26,1	37,8	62	81,2	13,1
A10	12	JANVILLE (ALLAINES)	A4	32	FRESNES EN WOEVRE	46,4	69,7	112,9	148,5	26
A10	12	JANVILLE (ALLAINES)	A719	-	GANNAT	27,9	43,9	68,9	92,5	17
A10	12	JANVILLE (ALLAINES)	A36	2.1	GENDREY	42,8	64,2	104,2	139,5	23,7
A10	12	JANVILLE (ALLAINES)	A71	14	GERZAT	29,3	46,7	72,5	96,2	18,1
A10	12	JANVILLE (ALLAINES)	A19	-	GONDREVILLE LA FRANCHE NORD	12,6	18,8	32,8	41,9	6,7
A10	12	JANVILLE (ALLAINES)	A19	-	GONDREVILLE LA FRANCHE SUD	16,6	24,8	42,5	55,2	9,1
A10	12	JANVILLE (ALLAINES)	A404	-	GROISSIAT	53,3	80,6	129,5	173,8	30,1
A10	12	JANVILLE (ALLAINES)	A31	-	GYE	45,2	67	107,7	144,5	24,5
A10	12	JANVILLE (ALLAINES)	A4	33	JARNY	47,9	72,4	115,3	150,5	27
A10	12	JANVILLE (ALLAINES)	A6	18	JOIGNY	22,8	32,9	54,4	70,2	11,4
A10	12	JANVILLE (ALLAINES)	A36	6	L'ISLE-SUR-LE-DOUBS	48,9	73,7	118,5	158,9	27,2
A10	12	JANVILLE (ALLAINES)	A432	-	LA BOISSE	54,2	82,1	131,3	176,3	30,7
A10	12	JANVILLE (ALLAINES)	A42	5.1	LA BOISSE - MONTLUEL	52,2	78,4	123,4	165,1	29,3
A10	12	JANVILLE (ALLAINES)	A432	-	LA COTIERE	52,8	79,4	127,1	169	29,8
A10	12	JANVILLE (ALLAINES)	A404	9	LA CROIX-CHALON	51,7	78,2	125,8	168,8	29,1
A10	12	JANVILLE (ALLAINES)	A71	3	LAMOTTE BEUVRON	7,9	12,7	20	26,3	4,9
A10	12	JANVILLE (ALLAINES)	A31	7	LANGRES NORD	36	52,8	85	113,7	19,2
A10	12	JANVILLE (ALLAINES)	A31	6	LANGRES SUD	36,6	54,1	87,3	116,1	19,8
A10	12	JANVILLE (ALLAINES)	A39	9	LE MIROIR	46,9	70,4	114	152,1	26,1
A10	12	JANVILLE (ALLAINES)	A5	-	LES EPRUNES	29,3	43,4	71,1	93,9	15,7
A10	12	JANVILLE (ALLAINES)	A6	28	MACON NORD	43,7	65,6	104,8	140	24
A10	12	JANVILLE (ALLAINES)	A6	29	MACON SUD	44,5	66,9	107	142,8	24,5
A10	12	JANVILLE (ALLAINES)	A5	22	MAGNANT	31,1	45,7	74,3	98,7	16,3
A10	12	JANVILLE (ALLAINES)	A89	27	MANZAT	29,4	47	72,2	96,6	18,1
A10	12	JANVILLE (ALLAINES)	A5	18	MAROLLES-SUR-SEINE	26,1	37,8	62	81,2	13,1
A10	12	JANVILLE (ALLAINES)	A10	16	MER	6,8	11,9	18	24,1	4,5
A10	12	JANVILLE (ALLAINES)	A10	15	MEUNG	5,5	8,4	13,8	16,9	3,6
A10	12	JANVILLE (ALLAINES)	A26	18	MONT CHOISY	36,7	54,7	90,2	118,5	20
A10	12	JANVILLE (ALLAINES)	A31	8	MONTIGNY-LE-ROI	37,5	55,1	89,5	119,7	20,2
A10	12	JANVILLE (ALLAINES)	A71	10	MONTLUCON	23,4	37,4	57,9	77,3	14,4
A10	12	JANVILLE (ALLAINES)	A71	11	MONTMARAULT	24,7	39,4	62	82,7	15,1
A10	12	JANVILLE (ALLAINES)	A4	19	MONTREUIL AUX LIONS	48,9	71,7	115,6	151,7	26,6
A10	12	JANVILLE (ALLAINES)	A6	16	NEMOURS	24,6	35,6	59	75,9	12,3
A10	12	JANVILLE (ALLAINES)	A6	21	NITRY	27,2	39,9	65,5	86,4	14,1
A10	12	JANVILLE (ALLAINES)	A31	1	NUITS-SAINT-GEORGES	38,3	57,4	93,1	123,5	20,9
A10	12	JANVILLE (ALLAINES)	A71	2	OLIVET	4,9	7,3	11,1	14,7	3,1
A10	12	JANVILLE (ALLAINES)	A71	1	ORLEANS CENTRE	4,3	6	9,8	11,3	2,8
A10	12	JANVILLE (ALLAINES)	A10	14	ORLEANS NORD	3,1	4,9	7,4	9,8	2
A10	12	JANVILLE (ALLAINES)	A26	-	ORMES	42,9	63,5	103,5	136,6	23
A10	12	JANVILLE (ALLAINES)	A10	-	PARIS (LA FOLIE BESSIN)	6,9	10,7	16,1	22,7	3,8
A10	12	JANVILLE (ALLAINES)	A42	7	PEROUGES	50,7	76,5	122,3	163,6	28,4
A10	12	JANVILLE (ALLAINES)	A42	9	PONT D'AIN	48,4	73,5	118,4	158,2	27,3
A10	12	JANVILLE (ALLAINES)	A6	-	POUILLY-EN-AUXOIS	34,1	50,8	82,2	109,6	18,1
A10	12	JANVILLE (ALLAINES)	A4	-	REIMS - TAISSY	41,9	61,8	101,8	133,2	22,6
A10	12	JANVILLE (ALLAINES)	A4	22	REIMS - TINQUEUX	43,5	64,2	104,1	137,8	23,5
A10	12	JANVILLE (ALLAINES)	A40	3	REPLONGES	43,8	66,3	106,6	142,5	24,4
A10	12	JANVILLE (ALLAINES)	A71	13	RIOM	29,2	46,6	72,2	96,1	17,9
A10	12	JANVILLE (ALLAINES)	A31	8.1	ROBECOURT	38,9	58,1	93,7	125,3	21,2
A10	12	JANVILLE (ALLAINES)	A85	14	ROMORANTIN	14,6	21,8	33,5	44,4	8,8
