Gare d'entrée	Gare de sortie	Distance	Classe 1	Classe 2	Classe 3	Classe 4	Classe 5
3007	AIGUEBELETTE	3010	AIX NORD	24	3,10	4,80	6,70	9,00	1,40
3007	AIGUEBELETTE	3009	AIX SUD	17	2,60	4,00	5,60	7,50	1,10
3007	AIGUEBELETTE	3014	ALLONZIER	62	7,60	11,20	16,00	21,20	3,90
3007	AIGUEBELETTE	3012	ANNECY CENTRE	50	6,20	9,30	13,40	17,90	3,10
3007	AIGUEBELETTE	3013	ANNECY NORD	55	6,50	10,00	14,10	19,50	3,10
3007	AIGUEBELETTE	3004	BOURGOIN	41	4,80	7,10	10,10	13,00	2,20
3007	AIGUEBELETTE	3008	CHAMBERY NORD	10	1,50	2,40	3,50	4,70	0,80
3007	AIGUEBELETTE	3091	CHATUZANGE BARRIERE	143	15,20	23,70	34,00	44,80	8,10
3007	AIGUEBELETTE	3003	ISLE D'ABEAU CENTRE	47	5,40	8,40	12,30	15,90	2,50
3007	AIGUEBELETTE	3092	LA BAUME D'HOSTUN	127	12,70	19,80	29,00	38,60	6,50
3007	AIGUEBELETTE	3005	LA TOUR DU PIN	32	3,60	5,80	7,90	10,60	1,70
3007	AIGUEBELETTE	3006	LES ABRETS	17	1,90	3,20	4,40	5,60	1,00
3007	AIGUEBELETTE	3083	MOIRANS NORD	77	7,80	11,70	17,00	22,60	3,80
3007	AIGUEBELETTE	3085	RIVES	62	6,20	9,50	13,50	17,80	3,00
3007	AIGUEBELETTE	3011	RUMILLY	37	4,90	7,20	10,40	13,50	2,10
3007	AIGUEBELETTE	3061	SAINT GENIX SUR GUIERS	13	1,50	2,30	3,80	5,30	0,70
3007	AIGUEBELETTE	3093	SAINT MARCELLIN	114	11,30	17,70	25,70	33,70	5,70
3007	AIGUEBELETTE	3020	SEYNOD SUD	44	5,40	8,50	12,00	15,80	2,60
3007	AIGUEBELETTE	15018	ST MARTIN BELLEVUE A41 N	81	14,50	23,60	34,40	43,90	7,60
3007	AIGUEBELETTE	3015	ST MARTIN BELLEVUE A410	87	10,40	15,80	22,30	30,40	5,20
3007	AIGUEBELETTE	3001	ST QUENTIN FAL. BARRIERE	78	9,70	14,40	20,60	27,40	4,70
3007	AIGUEBELETTE	3002	ST QUENTIN FAL. BRETELLE	57	6,60	10,20	14,80	19,50	3,20
3007	AIGUEBELETTE	3095	TULLINS	90	8,90	13,60	19,60	26,30	4,30
3007	AIGUEBELETTE	3062	VILLEFONTAINE	53	6,10	9,30	13,50	17,30	3,00
3007	AIGUEBELETTE	3094	VINAY	104	10,20	15,80	23,00	30,40	5,10
3007	AIGUEBELETTE	3086	VOIRON	73	7,30	10,90	15,90	20,90	3,60
3007	AIGUEBELETTE	3087	VOREPPE BARRIERE	97	8,80	14,00	19,70	27,50	4,60
3033	AITON	3026	CHIGNIN BARRIERE	31	3,90	6,00	9,70	13,20	1,80
3033	AITON	3025	CHIGNIN LES MARCHES	25	2,50	4,10	5,70	8,20	1,40
3033	AITON	3021	CROLLES BARRIERE	61	7,20	11,10	16,20	22,50	3,70
3033	AITON	3022	CROLLES BRIGNOUD	48	6,50	9,90	11,80	16,50	3,30
3033	AITON	2052	HERMILLON	36	5,30	7,40	14,20	18,10	3,00
3033	AITON	3023	LE TOUVET	37	4,10	6,60	9,70	12,60	2,00
3033	AITON	3031	MONTMELIAN	18	1,90	2,90	4,10	5,80	1,00
3033	AITON	3024	PONTCHARRA	28	3,70	5,40	7,60	10,50	1,60
3033	AITON	2056	ST MICHEL MAURIENNE BAR	68	8,90	13,10	27,60	36,30	5,50
3033	AITON	2054	ST MICHEL MAURIENNE ECH	50	7,10	10,40	19,40	25,40	4,20
3033	AITON	2050	ST PIERRE BELLEVILLE	14	1,90	2,90	5,50	6,20	1,20
3033	AITON	3034	STE HELENE BARRIERE	17	1,70	3,00	4,50	5,70	1,00
3033	AITON	2051	STE MARIE DE CUINES	30	4,20	6,10	11,60	14,40	2,40
3010	AIX NORD	3007	AIGUEBELETTE	24	3,10	4,80	6,70	9,00	1,40
3010	AIX NORD	3009	AIX SUD	7	0,80	1,20	1,60	2,60	0,40
3010	AIX NORD	3014	ALLONZIER	38	4,20	6,10	8,50	11,70	2,00
3010	AIX NORD	3012	ANNECY CENTRE	26	3,00	4,50	6,40	8,60	1,30
3010	AIX NORD	3013	ANNECY NORD	31	3,40	5,30	7,10	9,70	1,70
3010	AIX NORD	3004	BOURGOIN	65	8,50	12,20	17,90	24,50	4,00
3010	AIX NORD	3008	CHAMBERY NORD	14	1,60	2,70	4,00	5,20	0,80
3010	AIX NORD	3091	CHATUZANGE BARRIERE	167	18,60	29,50	40,50	53,20	9,40
3010	AIX NORD	3003	ISLE D'ABEAU CENTRE	71	8,70	13,50	19,50	26,20	4,30
3010	AIX NORD	3092	LA BAUME D'HOSTUN	151	15,20	24,90	35,00	46,30	8,30
3010	AIX NORD	3005	LA TOUR DU PIN	56	7,20	11,00	16,00	21,20	3,60
3010	AIX NORD	3006	LES ABRETS	41	5,50	8,40	12,20	16,70	2,60
3010	AIX NORD	3083	MOIRANS NORD	101	10,10	16,20	23,90	30,50	5,10
3010	AIX NORD	3085	RIVES	86	8,80	14,60	20,10	26,80	4,30
3010	AIX NORD	3011	RUMILLY	13	1,40	2,10	3,50	4,20	0,70
3010	AIX NORD	3061	SAINT GENIX SUR GUIERS	37	5,10	7,10	10,70	14,60	2,10
3010	AIX NORD	3093	SAINT MARCELLIN	138	13,80	22,60	32,10	42,00	7,20
3010	AIX NORD	3020	SEYNOD SUD	20	2,10	3,30	4,80	6,30	1,00
