Autoroute entrée	Péage entrée	Ville entrée	Autoroute sortie	Péage sortie	Ville sortie	Classe 1	Classe 2	Classe 3	Classe 4	Classe 5
A11	1	ABLIS	A28	18	ALENCON NORD	20,20	31,20	47,80	65,40	12,20
A11	1	ABLIS	A28	19	ALENCON SUD	19,40	30,10	47,70	64,00	12,10
A11	1	ABLIS	A11	-	ANGERS (CORZE)	24,60	37,80	58,20	77,10	15,00
A11	1	ABLIS	A88	-	ARGENTAN	29,20	46,70	70,20	94,90	17,40
A11	1	ABLIS	A28	23	AUVOURS (LE MANS ZI SUD)	15,40	23,70	37,20	49,80	9,80
A11	1	ABLIS	A85	1	BEAUFORT EN VALLEE	24,40	38,00	56,40	76,60	15,20
A11	1	ABLIS	A28	21	BEAUMONT SUR SARTHE	17,20	27,00	40,00	56,20	10,70
A11	1	ABLIS	A28	14	BERNAY	37,00	58,30	88,80	120,20	22,50
A11	1	ABLIS	A85	5	BOURGUEIL	28,30	43,40	66,20	88,30	17,60
A11	1	ABLIS	A28	13	BRIONNE	40,80	65,10	95,10	129,10	25,10
A11	1	ABLIS	A11	4	BROU	6,90	11,10	17,50	23,50	4,20
A11	1	ABLIS	A11	2	CHARTRES EST	2,60	4,50	5,10	6,20	1,50
A11	1	ABLIS	A11	3	CHARTRES-THIVARS	4,10	6,40	10,30	12,60	2,40
A11	1	ABLIS	A28	26	CHATEAU DU LOIR (MONTABON)	19,40	30,10	49,60	63,20	12,20
A11	1	ABLIS	A11	11	DURTAL	20,20	31,30	48,90	65,80	12,50
A11	1	ABLIS	A28	25	ECOMMOY	17,30	27,50	43,00	56,00	10,80
A11	1	ABLIS	A81	2	EVRON	22,10	33,50	50,50	70,00	13,40
A11	1	ABLIS	A28	16	GACE	28,90	46,00	67,80	92,10	17,60
A11	1	ABLIS	A11	3.1	ILLIERS COMBRAY	5,50	8,50	13,50	15,80	3,30
A11	1	ABLIS	A11	5	LA FERTE BERNARD	10,70	16,80	24,80	33,90	6,10
A11	1	ABLIS	A81	3	LAVAL EST	23,90	36,90	55,70	75,70	14,60
A11	1	ABLIS	A81	4	LAVAL OUEST	25,00	38,30	58,00	78,10	15,20
A11	1	ABLIS	A11	8	LE MANS CENTRE UNIVERSITE	15,70	24,20	38,20	52,00	9,90
A11	1	ABLIS	A11	9	LE MANS SUD	16,70	25,80	40,50	55,20	10,50
A11	1	ABLIS	A11	7	LE MANS ZI NORD	14,70	22,10	33,00	50,20	9,00
A11	1	ABLIS	A85	2	LONGUE-JUMELLES	25,20	39,10	58,80	79,00	15,80
A11	1	ABLIS	A28	15	ORBEC	33,20	52,70	78,90	107,30	20,20
A11	1	ABLIS	A28	24	PARIGNE-L'EVEQUE	16,70	25,30	39,80	52,00	10,20
A11	1	ABLIS	A10	-	PARIS (LA FOLIE BESSIN)	3,40	5,00	8,90	11,50	2,10
A11	1	ABLIS	A85	-	RESTIGNE	31,30	48,10	72,60	98,20	19,50
A11	1	ABLIS	A28	-	ROUMOIS	46,90	75,60	109,20	148,50	28,40
A11	1	ABLIS	A11	10	SABLE-LA FLECHE	19,40	29,60	46,20	63,20	11,90
A11	1	ABLIS	A85	3	SAUMUR (VIVY)	26,40	41,00	62,80	84,00	16,50
A11	1	ABLIS	A88	16	SEES	25,50	40,20	60,30	82,10	15,40
A11	1	ABLIS	A11	12	SEICHES	22,50	34,50	52,80	71,50	13,70
A11	1	ABLIS	A28	20	SILLE LE GUILLAUME / MAMERS	18,90	29,20	47,60	59,90	11,40
A11	1	ABLIS	A81	1	SILLE LE GUILLAUME / SABLE	19,30	29,90	44,40	61,10	11,70
A11	1	ABLIS	A28	-	TOURS CENTRE (SAINT CHRISTOPHE)	23,90	38,40	62,20	77,80	14,70
A11	1	ABLIS	A81	-	VITRE (LA GRAVELLE)	26,30	40,70	61,10	87,20	16,40
A83	3	AIGREFEUILLE	A10	26	CHATELLERAULT NORD	21,40	33,40	50,10	64,90	13,50
A83	3	AIGREFEUILLE	A10	27	CHATELLERAULT SUD	20,50	31,70	45,90	60,00	12,80
A83	3	AIGREFEUILLE	A10	28	FUTUROSCOPE	19,00	29,10	42,70	54,80	11,90
A83	3	AIGREFEUILLE	A10	29	POITIERS NORD	18,30	28,50	41,00	53,30	11,60
A83	3	AIGREFEUILLE	A10	30	POITIERS SUD	17,20	26,40	38,10	50,30	10,80
A83	3	AIGREFEUILLE	A10	25	SAINTE MAURE	24,40	38,30	55,90	74,00	15,40
A83	3	AIGREFEUILLE	A10	-	TOURS CENTRE (SORIGNY)	30,00	45,30	68,30	91,30	18,70
A28	18	ALENCON NORD	A11	1	ABLIS	20,20	31,20	47,80	65,40	12,20
A28	18	ALENCON NORD	A28	19	ALENCON SUD	0,50	1,00	1,30	1,80	0,40
A28	18	ALENCON NORD	A11	-	ANGERS (CORZE)	14,20	21,80	32,50	43,00	8,30
