A11	1	ABLIS	A28	18	ALENCON NORD	20,40	31,50	47,90	66,30	12,30
A11	1	ABLIS	A28	19	ALENCON SUD	19,60	30,50	47,80	65,00	12,20
A11	1	ABLIS	A11	-	ANGERS (CORZE)	25,20	38,60	59,90	79,20	15,40
A11	1	ABLIS	A88	-	ARGENTAN	29,90	48,00	71,80	97,80	17,80
A11	1	ABLIS	A28	23	AUVOURS (LE MANS ZI SUD)	15,60	24,00	37,80	50,50	10,00
A11	1	ABLIS	A85	1	BEAUFORT EN VALLEE	24,90	38,70	57,90	78,50	15,40
A11	1	ABLIS	A28	21	BEAUMONT SUR SARTHE	17,50	27,30	41,10	57,50	10,90
A11	1	ABLIS	A28	14	BERNAY	38,10	60,10	90,90	123,90	23,10
A11	1	ABLIS	A85	5	BOURGUEIL	29,00	44,30	67,90	90,90	17,90
A11	1	ABLIS	A28	13	BRIONNE	42,10	67,20	97,70	133,30	25,80
A11	1	ABLIS	A11	4	BROU	6,90	11,40	17,80	24,20	4,20
A11	1	ABLIS	A11	2	CHARTRES EST	2,70	4,60	5,20	6,40	1,50
A11	1	ABLIS	A11	3	CHARTRES-THIVARS	4,20	6,60	10,60	13,00	2,40
A11	1	ABLIS	A28	26	CHATEAU DU LOIR (MONTABON)	19,70	30,80	50,20	64,90	12,30
A11	1	ABLIS	A11	6	CONNERRE	13,50	20,90	31,20	42,30	7,90
A11	1	ABLIS	A11	11	DURTAL	20,60	31,80	50,20	67,60	12,70
A11	1	ABLIS	A28	25	ECOMMOY	17,60	28,20	44,10	57,50	11,10
A11	1	ABLIS	A81	2	EVRON	22,20	34,00	51,70	71,90	13,60
A11	1	ABLIS	A28	16	GACE	29,70	47,30	69,20	94,70	18,00
A11	1	ABLIS	A11	3.1	ILLIERS COMBRAY	5,70	8,90	14,10	16,50	3,40
A11	1	ABLIS	A11	5	LA FERTE BERNARD	10,70	16,80	25,00	34,30	6,20
A11	1	ABLIS	A81	3	LAVAL EST	24,00	37,70	57,20	77,40	14,80
A11	1	ABLIS	A81	4	LAVAL OUEST	25,20	39,20	58,90	79,30	15,50
A11	1	ABLIS	A11	8	LE MANS CENTRE UNIVERSITE	16,00	24,60	39,20	53,40	10,00
A11	1	ABLIS	A11	9	LE MANS SUD	17,00	26,20	41,50	56,60	10,60
A11	1	ABLIS	A11	7	LE MANS ZI NORD	15,10	22,70	34,10	51,90	9,10
A11	1	ABLIS	A85	2	LONGUE-JUMELLES	25,80	39,80	60,30	80,90	16,00
A11	1	ABLIS	A28	15	ORBEC	34,10	54,20	80,50	110,30	20,70
A11	1	ABLIS	A28	24	PARIGNE-L'EVEQUE	17,00	25,50	40,60	53,00	10,40
A11	1	ABLIS	A10	-	PARIS (LA FOLIE BESSIN)	3,50	5,20	9,00	11,80	2,20
A11	1	ABLIS	A85	-	RESTIGNE	32,00	49,10	74,40	100,80	19,80
A11	1	ABLIS	A28	-	ROUMOIS	48,60	78,10	112,40	153,90	29,20
A11	1	ABLIS	A11	10	SABLE-LA FLECHE	19,80	30,10	47,40	64,90	12,10
A11	1	ABLIS	A85	3	SAUMUR (VIVY)	27,00	41,90	64,50	86,40	16,80
A11	1	ABLIS	A88	16	SEES	26,20	41,30	61,50	84,50	15,70
A11	1	ABLIS	A11	12	SEICHES	23,00	35,10	54,20	73,40	13,90
A11	1	ABLIS	A28	20	SILLE LE GUILLAUME / MAMERS	19,00	29,30	47,60	60,80	11,60
A11	1	ABLIS	A81	1	SILLE LE GUILLAUME / SABLE	19,60	30,40	45,10	62,50	11,90
A11	1	ABLIS	A28	-	TOURS CENTRE (SAINT CHRISTOPHE)	24,30	39,00	62,90	79,60	14,90
A11	1	ABLIS	A81	-	VITRE (LA GRAVELLE)	26,50	41,30	61,90	89,00	16,60
A83	3	AIGREFEUILLE	A10	26	CHATELLERAULT NORD	21,50	33,40	50,30	64,90	13,60
A83	3	AIGREFEUILLE	A10	27	CHATELLERAULT SUD	20,60	31,70	46,10	60,30	12,80
A83	3	AIGREFEUILLE	A10	28	FUTUROSCOPE	19,00	29,20	42,70	55,00	11,90
A83	3	AIGREFEUILLE	A10	29	POITIERS NORD	18,30	28,50	41,00	53,30	11,60
A83	3	AIGREFEUILLE	A10	30	POITIERS SUD	17,20	26,40	38,10	50,30	10,80
A83	3	AIGREFEUILLE	A10	25	SAINTE MAURE	24,50	38,40	56,50	74,50	15,50
A83	3	AIGREFEUILLE	A10	-	TOURS CENTRE (SORIGNY)	30,30	45,80	69,10	92,30	18,90
A28	18	ALENCON NORD	A11	1	ABLIS	20,40	31,50	47,90	66,30	12,30
A28	18	ALENCON NORD	A28	19	ALENCON SUD	0,50	1,00	1,30	1,80	0,40
A28	18	ALENCON NORD	A11	-	ANGERS (CORZE)	14,50	22,20	33,20	44,20	8,60
A28	18	ALENCON NORD	A88	-	ARGENTAN	9,10	15,80	23,20	30,60	5,30
A28	18	ALENCON NORD	A28	23	AUVOURS (LE MANS ZI SUD)	5,00	8,10	13,80	16,30	3,40
A28	18	ALENCON NORD	A85	1	BEAUFORT EN VALLEE	14,20	22,30	31,20	43,50	8,60
A28	18	ALENCON NORD	A28	21	BEAUMONT SUR SARTHE	2,10	2,90	4,20	7,50	1,30
A28	18	ALENCON NORD	A28	14	BERNAY	17,30	27,90	42,30	56,70	10,60
A28	18	ALENCON NORD	A85	5	BOURGUEIL	18,30	27,90	41,20	55,90	11,10
A28	18	ALENCON NORD	A28	13	BRIONNE	21,30	35,00	49,10	66,10	13,30
