Gare d'entrée	Gare de sortie	Distance	Catégorie 1	Catégorie 2	Catégorie 3	Catégorie 4	Catégorie 5
ALLAINES	AMBERIEU	462,61	50,50	76,00	122,00	163,90	28,10
ALLAINES	ARLAY	403,12	45,40	68,60	111,90	149,10	24,80
ALLAINES	AUXERRE NORD	160,62	25,70	37,60	62,00	80,90	12,90
ALLAINES	AUXERRE SUD	172,32	25,70	37,60	62,00	80,90	12,90
ALLAINES	AVALLON	216,42	29,30	43,40	71,70	94,80	15,60
ALLAINES	BALAN	486,64	51,40	77,70	124,40	166,90	28,70
ALLAINES	BAUME-LES-DAMES	443,12	48,20	72,90	117,50	158,10	26,90
ALLAINES	BEAUNE NORD	308,07	36,90	55,40	90,10	119,30	20,00
ALLAINES	BEAUNE SUD	313,82	38,10	56,80	92,30	122,90	20,60
ALLAINES	BEAUPONT	446,82	48,40	73,20	118,90	159,30	27,00
ALLAINES	BEAUREPAIRE	418,52	46,50	70,20	113,80	153,10	25,50
ALLAINES	BELLEVILLE S/SAONE	419,52	46,60	70,10	112,50	150,90	25,50
ALLAINES	BERSAILLIN	398,53	45,20	67,40	110,50	147,70	24,70
ALLAINES	BESANCON EST	424,04	45,60	69,60	112,70	151,60	25,30
ALLAINES	BESANCON NORD	409,42	45,60	68,60	111,20	149,00	24,90
ALLAINES	BESANCON OUEST	400,02	45,60	68,20	110,70	148,00	24,80
ALLAINES	BEYNOST	500,80	53,60	81,40	129,90	174,90	30,30
ALLAINES	BIERRE-LES-SEMUR	242,32	31,20	45,80	75,70	100,40	16,50
ALLAINES	BOURG NORD	420,41	46,80	70,50	112,70	151,60	25,90
ALLAINES	BOURG SUD	440,84	47,90	72,60	116,40	156,10	27,00
ALLAINES	BULGNEVILLE	373,87	40,90	61,00	98,40	132,40	22,00
ALLAINES	CHALON NORD	335,92	40,30	60,40	96,80	129,50	21,80
ALLAINES	CHALON SUD	342,12	40,30	60,40	96,80	129,50	21,80
ALLAINES	CHATENOIS	384,02	41,20	61,70	99,90	134,10	22,50
ALLAINES	CHATILLON-LABORDE	197,24	28,60	42,20	68,90	91,00	15,00
ALLAINES	CHAUMONT-SEMOUTIERS	291,49	34,40	51,10	83,80	111,80	18,30
ALLAINES	CHOISEY	365,23	42,30	63,50	102,90	137,70	23,00
ALLAINES	CLERMONT-BARRIERE	334,58	32,80	51,50	81,10	109,20	19,70
ALLAINES	COLOMBEY-LES-BELLES	412,72	43,70	65,20	105,60	142,70	23,60
ALLAINES	COMBRONDE	297,36	28,60	44,80	70,60	94,50	17,30
ALLAINES	COURTENAY	118,31	21,60	31,30	52,30	67,70	10,70
ALLAINES	DIJON SUD	343,72	40,50	60,80	98,00	130,90	21,90
ALLAINES	DIJON-ARC S/TILLE	358,88	41,90	63,00	101,50	135,50	22,80
ALLAINES	DIJON-CRIMOLOIS	391,22	41,10	61,40	100,30	133,20	22,50
ALLAINES	DOLE	367,42	42,30	63,50	102,90	137,70	23,00
ALLAINES	FEILLENS	395,50	44,30	67,30	108,40	145,50	24,60
ALLAINES	FLEURY-EN-BIERE	184,74	27,10	40,10	65,50	85,70	13,90
ALLAINES	FONTAINEBLEAU	159,31	24,80	36,30	60,20	77,90	12,50
ALLAINES	FORET DE TRONCAIS	215,75	21,60	34,80	54,00	71,30	13,50
ALLAINES	FORGES	179,97	26,40	38,40	63,20	83,20	13,20
ALLAINES	GANNAT	295,37	28,50	44,70	69,70	93,90	17,30
ALLAINES	GENDREY	384,00	43,30	65,20	106,00	142,40	23,90
ALLAINES	GERZAT-VILLE	316,22	29,90	47,40	73,60	97,70	18,30
ALLAINES	GROISSIAT	491,87	54,00	81,90	131,80	177,20	30,50
ALLAINES	GYE	426,33	45,80	68,10	109,50	147,60	24,70
ALLAINES	JOIGNY	134,82	23,00	33,40	55,50	72,20	11,50
ALLAINES	L ISLE-S/LE-DOUBS	460,42	49,60	74,80	120,60	162,20	27,50
ALLAINES	LA BOISSE	512,45	55,00	83,40	133,60	179,90	31,10
ALLAINES	LA BOISSE - MONTLUEL	490,92	52,90	79,70	125,50	168,50	29,70
ALLAINES	LA COTIERE	496,88	53,50	80,70	129,30	172,40	30,20
ALLAINES	LA CROIX-CHALON	477,27	52,40	79,50	127,90	172,20	29,50
ALLAINES	LANGRES NORD	317,82	36,40	53,60	86,50	116,30	19,40
ALLAINES	LANGRES SUD	324,47	37,10	54,90	88,90	118,70	20,00
ALLAINES	LE MIROIR	433,66	47,50	71,50	116,00	155,20	26,30
ALLAINES	LES EPRUNES	220,84	29,60	44,10	72,40	96,20	15,80
ALLAINES	MACON NORD	387,92	44,20	66,60	106,60	142,90	24,20
ALLAINES	MACON SUD	398,25	45,10	68,00	108,80	145,80	24,70
ALLAINES	MAGNANT	240,65	31,50	46,40	75,60	101,00	16,50
ALLAINES	MAROLLES-SUR-SEINE	172,45	26,40	38,40	63,20	83,20	13,20
ALLAINES	MONTIGNY-LE-ROI	337,92	38,00	55,90	91,10	122,30	20,40
ALLAINES	MONTLUCON	240,68	23,80	38,10	58,80	78,50	14,60
ALLAINES	MONTMARAULT	253,28	25,10	40,00	62,80	83,90	15,30
ALLAINES	NEMOURS	156,36	24,80	36,30	60,20	77,90	12,50
ALLAINES	NITRY	197,12	27,60	40,60	66,70	88,50	14,20
ALLAINES	NUITS-ST-GEORGES	326,22	38,80	58,30	94,80	126,20	21,10
ALLAINES	PEROUGES	480,07	51,40	77,70	124,40	166,90	28,70
ALLAINES	PONT D AIN	455,25	49,10	74,60	120,50	161,40	27,60
ALLAINES	POUILLY-EN-AUXOIS	271,42	34,50	51,50	83,60	112,10	18,30
ALLAINES	REPLONGES	398,77	44,30	67,30	108,40	145,50	24,60
